=== RESTAURANT VINTAGE - FACEBOOK ANALYTICS REPORT ===
Платформа,Facebook
Бизнес,Restaurant Vintage
Page ID,191026444094537
Период от,2025-10-31
Период до,2025-12-31
Брой дни,62
Генериран на,2026-01-05

=== ОБОБЩЕНИЕ НА КЛЮЧОВИ МЕТРИКИ ===
Метрика,Обща стойност,Среднодневна стойност,Най-добър ден,Максимална стойност,Най-слаб ден,Минимална стойност
Общо прегледи (Views),761454,12281,2025-12-14,100338,2025-12-07,1156
Уникални зрители (Unique Viewers),407158,6567,2025-12-14,53233,2025-11-03,277
Нови последователи (New Followers),383,6.18,2025-12-14,68,Multiple days,0
Взаимодействия със съдържание (Content Interactions),6492,104.71,2025-12-14,616,2025-12-06,3
Кликове върху линкове (Link Clicks),1133,18.27,2025-12-27,130,Multiple days,0
Посещения на страницата (Page Visits),12810,206.61,2025-12-14,415,2025-12-06,65

=== ПРЕДСТАВЯНЕ ПО ТИП СЪДЪРЖАНИЕ - ПРЕГЛЕДИ ===
Тип съдържание (Content Type),Прегледи (Views),Процент от общо (%),Ранг
Reels (Кратки видеа),572681,75.21,1
Multi-photo (Галерии),86208,11.32,2
Links (Линкове),79536,10.44,3
Photos (Снимки),22287,2.93,4
Others (Друго),413,0.05,5
Text (Текст),329,0.04,6

=== ПРЕДСТАВЯНЕ ПО ТИП СЪДЪРЖАНИЕ - ВЗАИМОДЕЙСТВИЯ ===
Тип съдържание (Content Type),Взаимодействия (Interactions),Процент от общо (%),Ранг
Reels (Кратки видеа),3687,56.79,1
Multi-photo (Галерии),2013,31.01,2
Photos (Снимки),569,8.77,3
Links (Линкове),144,2.22,4
Stories (Истории),50,0.77,5
Others (Друго),29,0.45,6

=== ПУБЛИКУВАНО СЪДЪРЖАНИЕ ===
Тип съдържание (Content Type),Брой публикации (Posts Count),Процент от общо (%),Средно прегледи на пост
Reels (Кратки видеа),46,50.00,12449.59
Photos (Снимки),30,32.61,742.90
Stories (Истории),13,14.13,N/A
Links (Линкове),2,2.17,39768.00
Text (Текст),1,1.09,329.00
ОБЩО (TOTAL),92,100.00,8276.67

=== ДЕМОГРАФИЯ - ПОЛ И ВЪЗРАСТ ===
Възрастова група (Age Group),Жени % (Women %),Мъже % (Men %),Общо % (Total %),Доминантен пол (Dominant Gender)
18-24,3.40,1.60,5.00,Жени
25-34,17.60,8.10,25.70,Жени
35-44,20.60,9.80,30.40,Жени
45-54,15.00,6.50,21.50,Жени
55-64,8.90,2.60,11.50,Жени
65+,4.10,1.80,5.90,Жени
ОБЩО (TOTAL),69.60,30.40,100.00,Жени

=== ГЕОГРАФСКО РАЗПРЕДЕЛЕНИЕ - ТОП ГРАДОВЕ ===
Ранг,Град (City),Държава (Country),Процент от аудитория (%),Кумулативен процент (%)
1,Плевен,България,74.30,74.30
2,София,България,4.10,78.40
3,Пловдив,България,1.00,79.40
4,Варна,България,1.00,80.40
5,Долни Дъбник,България,0.80,81.20
6,Долна Митрополия,България,0.70,81.90
7,Гулянци,България,0.50,82.40
8,Пордим,България,0.50,82.90
9,Обнова,България,0.40,83.30
10,Други,Смесени,16.70,100.00

=== ГЕОГРАФСКО РАЗПРЕДЕЛЕНИЕ - ТОП ДЪРЖАВИ ===
Ранг,Държава (Country),Код (Country Code),Процент от аудитория (%),Кумулативен процент (%)
1,България,BG,98.40,98.40
2,Германия,DE,0.90,99.30
3,Великобритания,GB,0.90,100.20
4,Испания,ES,0.60,100.80
5,Белгия,BE,0.30,101.10
6,Италия,IT,0.30,101.40
7,Австрия,AT,0.20,101.60
8,Чехия,CZ,0.20,101.80
9,Гърция,GR,0.20,102.00
10,Румъния,RO,0.10,102.10

=== ТОП ПРЕПРАЩАЩИ СТРАНИЦИ ===
Ранг,Име на страница (Page Name),Резултат (Score),Категория
1,Novini.bg,22.78,Новинарски сайт
2,Petel.bg,22.08,Новинарски сайт
3,За Жената,20.15,Лайфстайл
4,Woman.bg,19.14,Лайфстайл
5,Катински Чаресва Ми,18.93,Забавление
6,Виж ти,17.71,Забавление
7,VMzona,17.22,Забавление
8,Смях до скъсване,16.82,Забавление
9,mobile.bg,16.38,Обяви
10,Господари,15.35,Забавление

=== ДНЕВНИ ДАННИ - ПЪЛНА ТАБЛИЦА ===
Дата (Date),Ден от седмицата (Day),Прегледи (Views),Уникални зрители (Viewers),Нови последователи (New Followers),Взаимодействия (Interactions),Кликове линкове (Link Clicks),Посещения страница (Page Visits),Прегледи на зрител (Views per Viewer)
2025-10-31,Петък,5213,1148,4,185,3,247,4.54
2025-11-01,Събота,4216,762,2,87,1,119,5.53
2025-11-02,Неделя,4594,286,3,44,9,186,16.06
2025-11-03,Понеделник,2699,277,0,20,0,118,9.74
2025-11-04,Вторник,4916,1068,1,102,1,145,4.60
2025-11-05,Сряда,11767,1011,9,98,5,223,11.64
2025-11-06,Четвъртък,2002,1010,0,138,2,168,1.98
2025-11-07,Петък,5660,3776,5,45,1,243,1.50
2025-11-08,Събота,5324,3094,1,94,1,184,1.72
2025-11-09,Неделя,3197,1959,0,93,0,84,1.63
2025-11-10,Понеделник,2869,1364,2,55,0,191,2.10
2025-11-11,Вторник,7937,5654,4,40,0,162,1.40
2025-11-12,Сряда,2661,1162,1,64,0,200,2.29
2025-11-13,Четвъртък,2728,1212,1,112,1,244,2.25
2025-11-14,Петък,2213,1071,2,11,0,130,2.07
2025-11-15,Събота,2906,1256,0,62,0,128,2.31
2025-11-16,Неделя,2988,1737,2,80,0,77,1.72
2025-11-17,Понеделник,11362,7204,6,117,0,334,1.58
2025-11-18,Вторник,7353,3850,3,89,0,406,1.91
2025-11-19,Сряда,5405,2583,2,26,1,345,2.09
2025-11-20,Четвъртък,3621,1765,1,125,0,151,2.05
2025-11-21,Петък,9444,6207,4,53,0,195,1.52
2025-11-22,Събота,7439,4487,3,106,3,197,1.66
2025-11-23,Неделя,3801,2081,3,28,1,163,1.83
2025-11-24,Понеделник,6561,3800,4,129,1,213,1.73
2025-11-25,Вторник,4407,2698,2,75,2,133,1.63
2025-11-26,Сряда,3270,1857,1,19,21,128,1.76
2025-11-27,Четвъртък,4683,2955,2,78,2,162,1.58
2025-11-28,Петък,4471,1916,0,70,0,198,2.33
2025-11-29,Събота,7098,4394,2,68,1,184,1.62
2025-11-30,Неделя,5564,4177,1,12,1,177,1.33
2025-12-01,Понеделник,6903,3934,2,102,16,269,1.75
2025-12-02,Вторник,6677,3861,0,82,9,310,1.73
2025-12-03,Сряда,5179,2917,1,66,19,186,1.78
2025-12-04,Четвъртък,6138,3421,3,127,39,207,1.79
2025-12-05,Петък,3846,2019,1,67,27,141,1.91
2025-12-06,Събота,1773,956,0,3,15,65,1.85
2025-12-07,Неделя,1156,423,1,55,0,70,2.73
2025-12-08,Понеделник,4669,2862,1,110,1,134,1.63
2025-12-09,Вторник,10646,6824,11,103,0,160,1.56
2025-12-10,Сряда,8629,5569,5,36,1,153,1.55
2025-12-11,Четвъртък,15311,9053,4,124,34,298,1.69
2025-12-12,Петък,11668,7849,6,88,29,290,1.49
2025-12-13,Събота,95903,49184,58,607,25,397,1.95
2025-12-14,Неделя,100338,53233,68,616,22,415,1.89
2025-12-15,Понеделник,30011,17556,17,198,8,256,1.71
2025-12-16,Вторник,21316,10811,10,141,19,334,1.97
2025-12-17,Сряда,18298,9471,6,149,23,257,1.93
2025-12-18,Четвъртък,18114,10290,11,134,18,378,1.76
2025-12-19,Петък,12854,8232,3,115,15,255,1.56
2025-12-20,Събота,16659,10339,8,72,29,268,1.61
2025-12-21,Неделя,7178,3813,5,41,14,204,1.88
2025-12-22,Понеделник,8851,4707,4,121,9,199,1.88
2025-12-23,Вторник,6062,3253,4,83,22,269,1.86
2025-12-24,Сряда,12756,9037,0,39,53,129,1.41
2025-12-25,Четвъртък,17166,12601,3,38,78,145,1.36
2025-12-26,Петък,23943,18050,9,121,97,153,1.33
2025-12-27,Събота,33208,21967,18,164,130,268,1.51
2025-12-28,Неделя,31178,19793,29,178,102,187,1.58
2025-12-29,Понеделник,29419,17902,20,153,68,306,1.64
2025-12-30,Вторник,25289,14122,17,131,0,213,1.79
2025-12-31,Сряда,11947,7449,5,103,1,120,1.60

=== АНАЛИЗ ПО ДЕН ОТ СЕДМИЦАТА ===
Ден (Day),Брой дни (Days Count),Общо прегледи (Total Views),Средно прегледи (Avg Views),Общо последователи (Total Followers),Средно последователи (Avg Followers)
Понеделник,9,113142,12571.33,55,6.11
Вторник,9,91903,10211.44,35,3.89
Сряда,9,62526,6947.33,15,1.67
Четвъртък,9,72440,8048.89,26,2.89
Петък,9,78512,8723.56,30,3.33
Събота,9,181661,20184.56,102,11.33
Неделя,8,159994,19999.25,120,15.00

=== АНАЛИЗ ПО СЕДМИЦА ===
Седмица (Week),Начало (Start Date),Край (End Date),Общо прегледи (Views),Общо последователи (Followers),Общо взаимодействия (Interactions)
Седмица 1,2025-10-31,2025-11-06,35407,19,674
