Facebook link clicks;
Date;Primary
2025-10-31T00:00:00;3
2025-11-01T00:00:00;1
2025-11-02T00:00:00;9
2025-11-03T01:00:00;0
2025-11-04T01:00:00;1
2025-11-05T01:00:00;5
2025-11-06T01:00:00;2
2025-11-07T01:00:00;1
2025-11-08T01:00:00;1
2025-11-09T01:00:00;0
2025-11-10T01:00:00;0
2025-11-11T01:00:00;0
2025-11-12T01:00:00;0
2025-11-13T01:00:00;1
2025-11-14T01:00:00;0
2025-11-15T01:00:00;0
2025-11-16T01:00:00;0
2025-11-17T01:00:00;0
2025-11-18T01:00:00;0
2025-11-19T01:00:00;1
2025-11-20T01:00:00;0
2025-11-21T01:00:00;0
2025-11-22T01:00:00;3
2025-11-23T01:00:00;1
2025-11-24T01:00:00;1
2025-11-25T01:00:00;2
2025-11-26T01:00:00;21
2025-11-27T01:00:00;2
2025-11-28T01:00:00;0
2025-11-29T01:00:00;1
2025-11-30T01:00:00;1
2025-12-01T01:00:00;16
2025-12-02T01:00:00;9
2025-12-03T01:00:00;19
2025-12-04T01:00:00;39
2025-12-05T01:00:00;27
2025-12-06T01:00:00;15
2025-12-07T01:00:00;0
2025-12-08T01:00:00;1
2025-12-09T01:00:00;0
2025-12-10T01:00:00;1
2025-12-11T01:00:00;34
2025-12-12T01:00:00;29
2025-12-13T01:00:00;25
2025-12-14T01:00:00;22
2025-12-15T01:00:00;8
2025-12-16T01:00:00;19
2025-12-17T01:00:00;23
2025-12-18T01:00:00;18
2025-12-19T01:00:00;15
2025-12-20T01:00:00;29
2025-12-21T01:00:00;14
2025-12-22T01:00:00;9
2025-12-23T01:00:00;22
2025-12-24T01:00:00;53
2025-12-25T01:00:00;78
2025-12-26T01:00:00;97
2025-12-27T01:00:00;130
2025-12-28T01:00:00;102
2025-12-29T01:00:00;68
2025-12-30T01:00:00;0
2025-12-31T01:00:00;1
