Date,New followers,Total followers,Reached audience,Engaged audience
2025/10/31,10,--,NAN,NAN
2025/11/01,100,--,75134,1801
2025/11/02,26,--,19595,620
2025/11/03,10,--,8150,321
2025/11/04,6,--,2306,149
2025/11/05,12,--,1910,113
2025/11/06,4,--,1364,65
2025/11/07,2,--,1108,73
2025/11/08,6,--,1382,66
2025/11/09,2,--,1169,85
2025/11/10,2,--,592,19
2025/11/11,1,--,848,16
2025/11/12,1,--,292,33
2025/11/13,1,--,57,2
2025/11/14,1,--,86,1
2025/11/15,3,--,225,12
2025/11/16,2,--,711,93
2025/11/17,4,--,1595,96
2025/11/18,3,--,1171,29
2025/11/19,2,--,593,31
2025/11/20,6,--,1583,119
2025/11/21,1,--,3015,178
2025/11/22,1,--,477,27
2025/11/23,2,--,551,30
2025/11/24,0,--,94,8
2025/11/25,1,--,987,47
2025/11/26,6,--,4991,91
2025/11/27,10,--,6892,144
2025/11/28,2,--,1979,49
2025/11/29,1,--,411,20
2025/11/30,1,--,921,40
2025/12/01,2,--,1456,71
2025/12/02,4,--,715,37
2025/12/03,1,--,895,34
2025/12/04,1,--,1419,60
2025/12/05,0,--,243,18
2025/12/06,0,--,271,7
2025/12/07,1,--,379,25
2025/12/08,2,--,904,31
2025/12/09,0,--,1595,85
2025/12/10,2,--,1524,85
2025/12/11,0,--,1271,68
2025/12/12,0,--,718,53
2025/12/13,6,--,9550,264
2025/12/14,27,--,40151,732
2025/12/15,4,--,12192,239
2025/12/16,4,--,4815,126
2025/12/17,3,--,16495,276
2025/12/18,3,--,13424,314
2025/12/19,2,--,5302,155
2025/12/20,10,--,17094,374
2025/12/21,11,--,4574,136
2025/12/22,3,--,2646,150
2025/12/23,2,--,1906,48
2025/12/24,1,--,1369,72
2025/12/25,0,--,1637,74
2025/12/26,4,--,2108,113
2025/12/27,10,--,44255,1147
2025/12/28,30,--,68580,1780
2025/12/29,15,--,35564,646
2025/12/30,24,--,33904,829
2025/12/31,8,--,38269,1216
