Date,Video views,Reached audience,Profile views,Likes,Shares,Comments,Phone number clicks ,Leads submission,Net growth,New followers,Lost followers
2025/10/31,715,NAN,25,26,4,7,0,0,10,10,0
2025/11/01,75155,75134,539,845,244,58,0,0,100,100,0
2025/11/02,19607,19595,130,273,77,39,0,0,26,26,0
2025/11/03,8156,8150,71,124,48,14,0,0,10,10,0
2025/11/04,2359,2306,51,86,16,17,0,0,5,6,1
2025/11/05,1915,1910,51,67,4,8,0,0,12,12,0
2025/11/06,1395,1364,28,50,1,9,0,0,4,4,0
2025/11/07,1171,1108,25,43,3,3,0,0,2,2,0
2025/11/08,1523,1382,26,52,0,8,0,0,6,6,0
2025/11/09,1243,1169,25,52,3,5,0,0,2,2,0
2025/11/10,766,592,14,14,0,2,0,0,2,2,0
2025/11/11,904,848,8,10,1,2,0,0,1,1,0
2025/11/12,453,292,7,7,10,1,0,0,1,1,0
2025/11/13,239,57,4,2,0,0,0,0,1,1,0
2025/11/14,149,86,2,0,0,0,0,0,1,1,0
2025/11/15,294,225,9,6,0,1,0,0,3,3,0
2025/11/16,863,711,17,39,4,7,0,0,2,2,0
2025/11/17,1761,1595,41,59,3,10,0,0,4,4,0
2025/11/18,1388,1171,27,18,3,0,0,0,3,3,0
2025/11/19,732,593,10,16,4,1,0,0,2,2,0
2025/11/20,1667,1583,25,66,8,18,0,0,6,6,0
2025/11/21,3239,3015,60,91,14,10,0,0,1,1,0
2025/11/22,735,477,15,21,0,4,0,0,1,1,0
2025/11/23,740,551,14,14,2,2,0,0,2,2,0
2025/11/24,356,94,10,5,1,3,0,0,0,0,0
2025/11/25,1122,987,11,26,0,4,0,0,1,1,0
2025/11/26,5324,4991,22,64,5,2,0,0,6,6,0
2025/11/27,7068,6892,47,102,3,12,0,0,10,10,0
2025/11/28,2177,1979,16,24,1,8,0,0,2,2,0
2025/11/29,492,411,6,16,0,4,0,0,1,1,0
2025/11/30,1089,921,16,27,1,4,0,0,1,1,0
2025/12/01,1540,1456,21,53,2,6,0,0,1,2,1
2025/12/02,996,715,23,24,3,3,0,0,3,4,1
2025/12/03,992,895,7,19,2,8,0,0,1,1,0
2025/12/04,1568,1419,11,35,0,5,0,0,1,1,0
2025/12/05,440,243,3,13,0,3,0,0,0,0,0
2025/12/06,380,271,2,6,0,2,0,0,0,0,0
2025/12/07,445,379,6,14,0,3,0,0,1,1,0
2025/12/08,1050,904,10,17,1,1,0,0,2,2,0
2025/12/09,1816,1595,13,52,2,7,0,0,0,0,0
2025/12/10,1743,1524,17,5,2,6,0,0,2,2,0
2025/12/11,1431,1271,14,103,1,7,0,0,0,0,0
2025/12/12,1024,718,14,43,0,4,0,0,0,0,0
2025/12/13,9761,9550,35,158,17,7,0,0,6,6,0
2025/12/14,40740,40151,129,411,70,20,0,0,27,27,0
2025/12/15,12682,12192,37,150,17,5,0,0,4,4,0
2025/12/16,5005,4815,28,71,14,4,0,0,4,4,0
2025/12/17,16898,16495,60,168,37,19,0,0,3,3,0
2025/12/18,14188,13424,48,189,35,14,0,0,3,3,0
2025/12/19,5623,5302,37,103,14,10,0,0,2,2,0
2025/12/20,17612,17094,83,196,64,12,0,0,10,10,0
2025/12/21,5031,4574,107,90,10,8,0,0,11,11,0
2025/12/22,3161,2646,41,89,17,3,0,0,3,3,0
2025/12/23,2224,1906,16,26,8,3,0,0,0,2,2
2025/12/24,1968,1369,25,43,3,3,0,0,0,1,1
2025/12/25,1985,1637,14,46,2,4,0,0,0,0,0
2025/12/26,2711,2108,23,77,9,7,0,0,4,4,0
2025/12/27,44825,44255,64,468,365,29,0,0,10,10,0
2025/12/28,69377,68580,138,821,371,73,0,0,29,30,1
2025/12/29,36047,35564,67,352,99,30,0,0,15,15,0
2025/12/30,34435,33904,120,439,127,34,0,0,24,24,0
2025/12/31,38996,38269,96,652,174,62,0,0,8,8,0
